Budget,Platform,AudienceSize,Duration,EstimatedRevenue,Success
878,TikTok,65559,29,2780.07,1
313,TikTok,20465,7,1387.94,1
3862,TikTok,52432,22,7945.82,1
1676,Instagram,5131,42,3896.08,1
2548,LinkedIn,11652,7,2600.75,0
3036,Instagram,65973,9,6231.79,1
3217,Instagram,88043,28,5973.09,1
691,Facebook,48147,38,2433.36,1
2820,TikTok,48671,43,4800.52,1
813,Google,90342,28,4138.24,1
1035,TikTok,20171,40,2152.15,1
4437,LinkedIn,87129,32,13510.82,1
101,LinkedIn,56692,38,2533.43,1
2948,TikTok,59541,20,6470.72,1
4144,TikTok,10470,40,10627.08,1
2049,Instagram,62344,11,3335.77,1
1017,Google,45308,22,4420.16,1
3274,Instagram,51639,10,4495.73,0
2341,Facebook,22326,32,5452.72,1
189,Facebook,5597,43,665.23,1
1809,LinkedIn,31788,38,5996.0,1
2269,LinkedIn,66020,45,4465.81,1
4338,Google,50477,33,11366.53,1
3141,LinkedIn,34071,8,4359.7,0
205,Facebook,71603,18,1589.25,1
986,Google,62923,9,3572.0,1
527,Facebook,71560,29,1633.78,1
1995,TikTok,74251,43,7409.18,1
416,TikTok,58492,12,2763.95,1
734,Google,32770,19,3393.9,1
2025,Instagram,77762,23,5885.35,1
2156,LinkedIn,36399,15,5340.21,1
3244,Google,79948,24,9062.48,1
2370,LinkedIn,58439,40,6772.19,1
1539,Facebook,45415,22,3488.08,1
652,Instagram,13569,18,1709.04,1
815,LinkedIn,3369,42,1220.4,0
4011,TikTok,98557,29,7841.36,1
1813,TikTok,1528,20,2581.11,0
3489,Facebook,31314,22,7994.28,1
1207,Google,19047,5,2131.23,1
4306,LinkedIn,20748,44,7355.01,1
350,Facebook,36109,5,1569.34,1
2530,TikTok,14919,5,2850.35,0
2154,TikTok,48498,25,6077.05,1
558,TikTok,56808,29,2096.07,1
307,Instagram,81792,31,3118.75,1
999,Instagram,71441,14,4223.39,1
3561,TikTok,75420,16,8177.68,1
3485,Google,29906,32,6186.08,1
121,Instagram,72486,36,1949.48,1
509,LinkedIn,67896,37,3094.3,1
994,Instagram,22946,12,2334.69,1
614,LinkedIn,48020,30,2065.41,1
4209,Instagram,75266,45,7019.34,1
2234,TikTok,23161,6,3043.36,0
3695,LinkedIn,28738,39,8642.75,1
3056,Google,4925,38,6065.16,1
1660,Instagram,9463,10,2619.27,1
1366,Instagram,58153,35,4172.77,1
2269,TikTok,83948,27,4836.93,1
3738,LinkedIn,62009,16,8593.4,1
849,TikTok,88938,32,4135.16,1
3527,LinkedIn,92253,19,10763.81,1
4880,Instagram,42552,23,6011.55,0
2027,Instagram,57271,16,6124.42,1
3904,Instagram,10797,6,9755.07,1
3802,Instagram,87130,15,10927.27,1
2456,Facebook,72942,41,6051.28,1
4890,Instagram,14965,42,9534.14,1
2435,Instagram,14733,29,5157.24,1
406,LinkedIn,54223,25,3184.51,1
3765,Instagram,27926,40,5015.94,0
2089,Instagram,29783,13,4621.87,1
761,LinkedIn,84360,16,4781.92,1
4744,Instagram,37394,14,13680.2,1
411,Instagram,65796,9,3758.79,1
3020,TikTok,29287,37,6389.17,1
1182,Facebook,83104,9,3672.91,1
3071,LinkedIn,31436,20,8748.0,1
854,TikTok,87916,41,2237.74,1
4230,Google,91332,41,9880.06,1
4640,Google,74567,33,6457.58,0
452,Facebook,88483,22,3485.28,1
1002,Google,4188,33,1467.74,0
3988,Facebook,92205,10,10188.52,1
258,Google,98349,22,1734.35,1
2077,Google,7765,36,3509.45,1
1056,TikTok,52626,35,2800.56,1
2171,Google,89707,15,3533.87,1
503,Facebook,11807,30,762.85,1
4711,Instagram,11204,32,9181.8,1
2879,Instagram,93602,31,8037.51,1
1487,Instagram,58944,23,3790.04,1
3553,Facebook,43120,31,8153.88,1
1055,Facebook,23658,24,1779.26,1
1812,Instagram,38081,7,4047.5,1
4803,Google,35986,20,12688.63,1
1373,Instagram,80322,43,4464.4,1
3911,LinkedIn,95819,33,10959.53,1
2725,Facebook,51304,19,7461.86,1
2482,LinkedIn,66592,34,5700.71,1
1541,LinkedIn,59548,44,3523.04,1
3079,Facebook,99447,5,7920.34,1
1897,Instagram,40986,33,2878.22,1
4490,TikTok,75095,34,10646.41,1
4109,LinkedIn,92594,44,10557.53,1
4950,Instagram,89281,36,14399.78,1
1494,TikTok,67151,14,3933.06,1
4381,LinkedIn,74598,31,7970.31,1
1369,Instagram,29214,12,3486.34,1
4832,LinkedIn,39745,40,9661.59,1
3814,Instagram,43548,39,9224.45,1
629,Google,11681,40,1904.74,1
3723,Google,7984,40,9079.67,1
3058,Facebook,28579,29,4319.5,0
3014,TikTok,91810,24,8468.8,1
4989,LinkedIn,55933,21,11704.13,1
3691,LinkedIn,28399,27,7109.05,1
2247,Instagram,32481,29,5407.45,1
4673,TikTok,1944,35,7240.03,1
3469,LinkedIn,94993,10,8362.34,1
1039,TikTok,10114,39,1470.97,0
625,TikTok,40846,8,2403.63,1
101,Google,84666,44,3425.29,1
474,LinkedIn,78848,24,2498.75,1
2440,LinkedIn,33596,45,7551.92,1
4105,Facebook,76287,5,6099.84,0
3152,TikTok,7907,30,3676.63,0
4748,Instagram,29114,38,5021.46,0
2465,Google,26009,14,4308.48,1
1625,Facebook,85846,27,3818.5,1
4576,Google,51241,28,8829.88,1
1746,Instagram,36725,17,4469.67,1
113,Facebook,19996,33,468.99,1
4699,Google,7047,31,9891.37,1
2378,Instagram,29767,35,6005.16,1
3255,Facebook,17347,14,4243.98,0
229,Instagram,25102,35,1148.59,1
3914,Facebook,5263,43,4193.31,0
3316,LinkedIn,68438,14,7352.21,1
3038,LinkedIn,97359,28,9778.65,1
4028,Google,31540,37,6747.83,1
2140,TikTok,76726,18,4612.71,1
127,TikTok,64769,39,1514.03,1
2213,Instagram,41843,38,6235.89,1
1352,Facebook,28690,21,2055.97,1
4456,LinkedIn,3994,25,9411.89,1
2146,TikTok,68546,36,6232.82,1
4655,LinkedIn,8377,7,4949.13,0
4123,Instagram,79572,19,8770.78,1
4496,Instagram,27467,12,6400.78,0
3474,Facebook,1048,36,2934.57,0
3566,TikTok,37978,42,5041.97,0
3181,Instagram,48606,30,5662.8,1
3878,Instagram,82574,34,6543.27,1
729,LinkedIn,99112,13,3094.82,1
369,Google,74414,36,3798.03,1
2739,TikTok,94145,15,6255.41,1
2093,Facebook,50222,26,7242.3,1
2991,Facebook,49115,38,4363.18,0
3532,LinkedIn,90606,45,10600.45,1
1380,Facebook,41647,22,4097.21,1
2460,Instagram,55607,23,3365.49,0
675,TikTok,58410,22,2699.18,1
1407,Facebook,22996,41,2907.98,1
3292,TikTok,55921,22,9326.13,1
3278,Facebook,84697,16,10089.12,1
2834,Google,47022,8,5915.98,1
2312,Google,41148,31,5567.65,1
2452,TikTok,68764,9,6484.94,1
3668,Google,92901,10,7629.95,1
1755,Google,91724,17,4869.75,1
1679,Instagram,9888,27,3645.14,1
2303,Facebook,89666,29,3411.84,0
1490,Google,40159,8,5285.54,1
1842,TikTok,43197,36,3836.34,1
2025,Instagram,85326,19,6819.0,1
719,Google,91360,30,4964.16,1
1374,TikTok,99941,15,4878.06,1
1056,Facebook,25474,13,2819.32,1
2039,Google,18333,15,3996.96,1
4053,TikTok,37355,6,11131.62,1
2481,TikTok,74903,31,5653.55,1
1068,LinkedIn,67258,30,2100.5,1
1416,TikTok,32145,12,3443.21,1
1143,LinkedIn,76675,25,3900.26,1
381,Facebook,50854,25,2169.41,1
2944,Facebook,68664,12,8630.89,1
1158,Instagram,87153,5,4695.45,1
4393,LinkedIn,94616,42,9192.08,1
2632,TikTok,36285,17,7012.04,1
3928,Instagram,18533,13,8139.83,1
1108,Instagram,33624,32,3393.17,1
1329,Facebook,47996,10,5144.73,1
1135,TikTok,47947,27,2258.91,1
4685,LinkedIn,28956,40,9804.84,1
375,Facebook,52030,21,2248.02,1
2840,Instagram,59597,13,7525.79,1
2389,Google,43443,16,5478.26,1
1339,Instagram,99613,26,3338.9,1
225,Google,66464,16,3632.72,1
4165,Facebook,4952,10,8223.01,1
4412,LinkedIn,57880,13,11532.52,1
3968,TikTok,53201,41,6681.56,1
1308,Google,43460,7,5118.27,1
3349,TikTok,23796,38,7375.74,1
1018,Facebook,32746,12,3305.76,1
4023,Facebook,87785,14,12710.89,1
4503,Facebook,1015,45,8476.67,1
2069,LinkedIn,50757,13,5195.1,1
2893,Google,26957,18,4513.28,1
991,TikTok,82541,41,4756.3,1
4570,Instagram,22292,31,8954.15,1
2133,Facebook,32876,45,6355.88,1
1464,TikTok,61727,36,4071.34,1
228,TikTok,48046,8,2472.06,1
1114,LinkedIn,15817,6,1559.42,0
1899,Google,92006,37,6174.9,1
4712,LinkedIn,10759,25,6910.96,0
1618,LinkedIn,49432,5,4251.64,1
4281,TikTok,7412,15,8638.38,1
1298,Google,58757,5,4159.31,1
3973,Google,21504,15,9766.63,1
2574,Google,9507,11,4763.79,1
3585,Facebook,22050,6,9098.04,1
4149,Google,5820,19,4119.72,0
3819,TikTok,8835,12,5588.1,0
402,Facebook,94167,30,2098.64,1
4052,Instagram,14587,44,8431.35,1
4783,LinkedIn,58732,39,7061.25,0
1086,Google,52921,45,3520.42,1
1963,Instagram,46499,45,5600.94,1
4540,Google,7840,25,4899.72,0
3172,LinkedIn,66077,42,9687.89,1
3224,TikTok,32440,12,7529.67,1
1427,TikTok,36183,36,2276.8,1
2508,LinkedIn,97172,12,9397.26,1
3773,Instagram,3389,14,6815.86,1
3391,Facebook,56076,27,5124.29,1
4133,Facebook,67299,8,7447.74,1
803,Google,90461,42,6234.59,1
674,LinkedIn,93085,34,3424.82,1
3332,LinkedIn,40023,45,7463.94,1
4883,Facebook,51029,27,12065.79,1
2732,Instagram,40941,9,3832.68,0
3928,LinkedIn,89993,25,13740.36,1
3330,TikTok,54950,10,4992.14,0
588,TikTok,87959,21,2232.06,1
1447,LinkedIn,77054,29,4419.07,1
3781,Instagram,66363,28,5432.16,0
3273,TikTok,62742,26,7192.23,1
4689,Instagram,98896,17,13387.8,1
1767,Facebook,46215,21,2815.61,1
1737,Google,48857,18,3787.2,1
4214,Facebook,56476,38,7469.66,1
3653,Google,29173,30,8993.15,1
1100,TikTok,10395,23,1634.24,0
950,Google,60768,30,2257.36,1
1488,Google,85743,7,4938.13,1
3812,LinkedIn,47229,6,6217.85,1
1467,Google,27639,32,2022.3,0
921,LinkedIn,63583,6,4419.34,1
554,Google,29924,26,1741.59,1
1724,LinkedIn,73969,11,3603.48,1
2872,TikTok,31104,8,3503.88,0
3826,TikTok,38594,42,9546.1,1
3247,Google,4664,43,4396.81,0
4189,Instagram,11528,24,3617.13,0
4906,TikTok,29190,10,7574.72,1
2290,Facebook,67033,13,6825.84,1
1016,Facebook,62161,35,4036.02,1
4086,LinkedIn,74177,30,5503.79,0
2975,Instagram,71179,40,6152.25,1
1540,LinkedIn,71592,30,4964.58,1
4500,Google,33899,32,10677.66,1
835,TikTok,71979,9,4963.94,1
3668,Instagram,18241,14,4748.61,0
3438,LinkedIn,47211,22,7830.35,1
3115,LinkedIn,64472,19,5287.16,1
2989,Facebook,75248,37,6642.03,1
1061,Google,74757,9,5254.25,1
3089,LinkedIn,32346,41,5039.23,1
3948,Facebook,82196,44,7288.95,1
1126,Instagram,78124,26,3788.26,1
3965,LinkedIn,43220,26,10337.94,1
2963,Facebook,18942,26,7290.58,1
2601,Google,50167,19,4328.51,1
2047,TikTok,37373,21,3550.15,1
1277,Instagram,68143,32,5113.15,1
4860,LinkedIn,3016,26,8454.37,1
111,Facebook,70110,25,1001.46,1
4499,LinkedIn,47309,21,10763.87,1
3464,TikTok,8274,9,3890.18,0
3122,LinkedIn,16748,22,6365.95,1
3471,LinkedIn,21175,21,8368.72,1
2930,Facebook,12826,8,2603.59,0
142,TikTok,84008,11,1996.69,1
1043,Instagram,35129,29,2409.26,1
2490,Facebook,71009,41,8974.23,1
2645,TikTok,24490,44,3807.58,0
2511,TikTok,42435,44,6515.77,1
1104,LinkedIn,76017,13,5248.17,1
120,Google,9520,23,336.04,1
506,Google,92951,13,1833.81,1
1114,Instagram,84106,27,4395.92,1
4531,LinkedIn,62877,35,6777.59,0
1938,Google,20798,36,5221.1,1
3288,Facebook,55638,35,7859.84,1
814,Instagram,70072,21,4648.01,1
4246,LinkedIn,68309,43,7974.46,1
3954,Facebook,30894,26,5589.52,0
4519,Google,63963,39,10476.41,1
4984,Google,55567,34,9169.37,1
240,Google,36326,44,1371.38,1
4665,Google,56059,41,10678.13,1
4982,TikTok,6079,30,4926.31,0
1063,Instagram,26838,10,2419.15,1
472,Instagram,88340,38,3945.92,1
3735,Google,48109,36,4821.89,0
2641,Instagram,86211,29,9212.86,1
3710,Facebook,26594,17,6477.03,1
1792,Facebook,43749,42,5082.66,1
205,Instagram,37292,42,1070.75,1
1781,Google,75534,6,3598.2,1
4197,LinkedIn,80233,9,10040.09,1
4116,Google,52818,15,7896.23,1
2736,TikTok,14429,15,2649.54,0
2237,LinkedIn,58748,28,4508.17,1
3516,TikTok,49807,18,6340.68,1
4545,Instagram,8140,34,5993.18,0
3630,TikTok,64226,44,9378.23,1
1386,Instagram,15901,39,2487.32,1
3279,TikTok,89815,25,8419.07,1
3754,LinkedIn,29525,9,4580.76,0
2459,TikTok,21491,42,6069.48,1
544,Google,69816,6,2818.7,1
135,Instagram,35980,44,1371.62,1
1575,Facebook,96525,41,5725.4,1
4057,TikTok,9078,38,6250.43,1
1898,Instagram,92654,15,7089.59,1
1945,Facebook,90521,40,4694.61,1
1508,Instagram,49704,15,5584.65,1
1808,Instagram,17997,13,4851.99,1
3038,Facebook,80810,10,6653.3,1
1400,Facebook,1868,38,1898.61,0
1343,LinkedIn,27398,41,3600.82,1
4076,TikTok,82578,36,7254.08,1
3197,TikTok,98356,16,11207.1,1
4716,Instagram,22246,36,11471.09,1
109,Google,21561,21,683.85,1
2525,Google,17254,8,5601.67,1
1760,Instagram,35512,37,4928.14,1
2731,LinkedIn,90532,13,9183.38,1
4915,Facebook,95154,38,8968.22,1
1172,Instagram,78395,43,4042.87,1
3325,TikTok,58865,34,8533.34,1
1416,Google,24580,24,3750.1,1
4245,Google,71959,43,8781.6,1
3783,Google,73144,27,8742.71,1
3373,LinkedIn,43485,45,7048.45,1
245,TikTok,51621,39,2366.38,1
3140,LinkedIn,51665,27,4362.26,0
1562,Facebook,71412,43,3932.76,1
4776,Instagram,51603,27,11869.02,1
1684,Instagram,22038,41,1977.21,0
582,Google,94542,27,2721.34,1
3279,Google,97346,43,11235.06,1
1349,Facebook,15325,32,3642.19,1
4868,LinkedIn,36892,23,8098.53,1
730,TikTok,2753,34,1125.46,1
761,Facebook,96067,25,2972.17,1
3603,Instagram,18996,28,5775.18,1
2952,Instagram,69811,25,4687.65,1
2566,LinkedIn,75283,30,8021.02,1
1087,Facebook,46211,40,3695.58,1
1646,TikTok,63820,30,3446.25,1
749,Facebook,1824,37,693.08,0
1068,Facebook,14880,40,2855.35,1
2737,LinkedIn,67617,8,8183.12,1
1200,TikTok,12517,13,2104.41,1
540,Instagram,22683,12,1206.62,1
869,Google,17876,6,2263.73,1
1443,TikTok,57354,33,4401.1,1
4458,Instagram,74802,27,6585.65,0
3829,LinkedIn,77719,10,7322.6,1
4006,TikTok,87602,40,9572.41,1
1677,TikTok,79413,25,6743.83,1
4108,Instagram,10982,26,9525.48,1
3451,Instagram,75504,13,8648.58,1
4895,Facebook,27598,38,11880.67,1
2449,Facebook,15639,30,6088.61,1
3702,TikTok,71210,5,8003.51,1
1341,Google,70852,40,3310.73,1
1225,LinkedIn,10695,9,3046.87,1
2701,Instagram,49582,45,8610.17,1
1290,Facebook,32094,26,2380.61,1
4231,LinkedIn,61635,8,9730.52,1
4939,TikTok,23187,6,6587.6,0
4548,Instagram,2214,20,3836.47,0
172,Instagram,24940,20,820.26,1
2014,Facebook,45406,26,4280.65,1
2572,Google,92221,5,6259.33,1
3146,Instagram,44481,19,6082.16,1
807,Google,16977,28,2164.8,1
1904,LinkedIn,45839,8,5887.71,1
3813,Instagram,58874,22,10537.08,1
2664,Instagram,59414,21,5355.26,1
2575,Google,26538,11,5429.31,1
3710,Facebook,57241,14,10383.85,1
4355,TikTok,74501,5,10118.38,1
2923,LinkedIn,76133,6,5640.09,1
1835,Instagram,61481,26,4956.94,1
1685,Facebook,28740,36,5379.8,1
166,Instagram,64328,33,2884.65,1
3161,LinkedIn,73105,39,5615.42,1
2528,TikTok,51643,21,6005.02,1
4253,Instagram,12881,16,10554.17,1
441,Google,37996,28,1015.86,1
2874,Facebook,33177,34,6371.5,1
2917,TikTok,38177,34,4599.43,1
2761,Instagram,67126,24,7908.28,1
1332,TikTok,57531,11,5119.37,1
3974,Google,27119,42,4431.63,0
2501,Instagram,28915,11,6899.82,1
1594,TikTok,3708,34,3522.1,1
4311,Instagram,39749,16,6228.83,0
761,Instagram,45989,35,2191.49,1
3983,TikTok,23106,22,6430.38,1
3719,Instagram,18131,6,9045.32,1
1968,Google,47553,37,3777.15,1
2434,TikTok,59144,15,5334.44,1
3474,TikTok,7553,38,6058.21,1
1116,Google,18881,20,1302.26,0
4506,Google,2379,39,5738.03,0
307,Google,91791,37,2993.68,1
2765,Instagram,70306,25,5173.47,1
2593,Instagram,20726,24,6415.23,1
732,LinkedIn,10088,12,1971.04,1
2202,Instagram,35314,30,4512.95,1
3059,Google,56041,37,7025.23,1
3183,LinkedIn,17350,30,6733.95,1
4852,Google,82397,41,12762.01,1
2031,Facebook,80509,34,3622.51,1
3819,TikTok,18769,35,4290.59,0
2662,Facebook,48249,37,8205.11,1
1779,Google,83862,15,5026.22,1
336,Instagram,47365,45,1111.38,1
4543,TikTok,51185,9,9398.84,1
4825,Instagram,3786,6,5366.41,0
1640,Instagram,2620,17,3509.09,1
4043,TikTok,37303,22,9747.09,1
463,TikTok,20589,30,1137.14,1
2468,Facebook,3882,29,5729.19,1
385,Google,63248,18,3251.64,1
248,Instagram,50322,9,2829.07,1
4137,Google,25524,6,8461.85,1
4651,Google,10745,8,8497.78,1
1866,LinkedIn,16861,16,2633.45,0
4995,Facebook,92707,15,8473.05,1
1112,Instagram,92735,8,4665.62,1
2931,TikTok,55261,13,6922.71,1
2607,TikTok,3837,14,4803.01,1
1623,Google,75135,31,6267.4,1
2885,Facebook,82447,10,5812.39,1
2656,Facebook,55380,19,5201.77,1
3825,Instagram,87089,35,9877.02,1
4676,Instagram,50831,26,12604.5,1
1701,Google,90349,10,4546.09,1
2508,Google,39255,37,6292.18,1
440,Google,30520,33,1857.3,1
2917,LinkedIn,30541,25,3595.48,0
2596,Facebook,66772,34,5528.68,1
1825,Google,28350,25,4075.02,1
1789,Facebook,45397,40,3679.72,1
3367,TikTok,78085,26,7111.38,1
4506,TikTok,64865,24,11931.77,1
361,Facebook,56956,26,2364.25,1
1542,TikTok,28453,44,3954.68,1
505,TikTok,63345,15,1897.63,1
2290,TikTok,13906,35,3754.71,1
4537,Instagram,15988,44,6417.83,0
343,Instagram,28723,17,1876.62,1
4685,Facebook,34800,22,5772.25,0
4207,Facebook,40107,26,4757.37,0
660,LinkedIn,28430,21,2177.46,1
4237,Instagram,33535,42,11444.54,1
2825,Facebook,69476,29,4719.46,1
693,Instagram,88329,36,3547.12,1
1926,LinkedIn,78798,19,7313.17,1
3329,Facebook,53284,17,8586.61,1
3387,Facebook,57232,30,9249.31,1
4173,Facebook,45420,15,6814.94,1
233,Facebook,38710,17,1303.7,1
3238,Google,73497,37,9556.69,1
4019,Instagram,93035,41,10969.45,1
172,Instagram,41498,42,940.77,1
4594,Instagram,32283,5,11128.35,1
4325,LinkedIn,67169,43,10133.4,1
3078,Google,73358,31,4450.34,0
4461,Instagram,63457,40,11151.96,1
2085,Instagram,26968,36,4334.79,1
892,Facebook,63508,45,4012.52,1
4359,Facebook,64220,19,11308.31,1
194,Facebook,86366,35,2869.53,1
1233,Instagram,6738,10,1476.9,0
337,Facebook,4098,29,695.53,1
3046,Instagram,96424,22,5690.88,1
2630,LinkedIn,74633,26,4608.78,1
2060,LinkedIn,79672,35,5236.94,1
1148,TikTok,39244,40,3075.41,1
2629,Google,9253,13,4780.94,1
3064,Facebook,55333,7,7294.37,1
1063,Facebook,51969,37,3511.98,1
636,Google,91744,31,4850.83,1
4323,Google,71423,5,6975.29,1
3779,TikTok,45411,13,9992.93,1
4287,Google,76028,9,11421.7,1
3824,Instagram,36421,19,10360.04,1
642,Facebook,2454,13,1286.06,1
945,Google,18522,32,2472.48,1
3703,Instagram,39575,17,5988.75,1
3136,Google,4192,28,3081.88,0
2594,Instagram,56268,14,6952.11,1
4585,LinkedIn,82311,26,8744.1,1
2819,Instagram,11402,43,6029.25,1
1984,TikTok,79610,26,6447.19,1
4238,Instagram,81781,41,12912.67,1
4449,Google,37527,43,8157.73,1
3301,LinkedIn,53181,24,5673.64,1
2810,LinkedIn,92472,14,10521.23,1
2053,Instagram,28002,14,4233.36,1
4837,Google,82219,30,13108.32,1
3950,LinkedIn,13460,29,3699.94,0
789,Instagram,31482,32,2316.87,1
2050,Instagram,17447,17,2089.18,0
556,Instagram,49228,19,2431.28,1
2230,LinkedIn,84265,10,6199.91,1
4076,Facebook,51126,16,7587.45,1
4344,Google,21545,23,6018.02,0
1279,TikTok,56114,36,4948.97,1
4385,TikTok,94740,15,12197.25,1
3665,Google,76350,42,5416.05,0
982,Facebook,58801,37,3823.45,1
499,Google,14890,6,1685.76,1
708,Instagram,53482,19,2835.62,1
1738,Google,64397,40,5895.67,1
2248,Google,2740,9,2913.29,0
1482,LinkedIn,31121,19,3929.41,1
1503,TikTok,12218,14,2012.57,0
919,TikTok,72591,21,2332.16,1
3392,Instagram,89241,38,6130.93,1
919,Instagram,35722,28,1435.78,1
519,LinkedIn,50431,14,2799.45,1
4319,Instagram,52543,34,6790.04,1
4617,Facebook,43000,7,12505.99,1
3402,LinkedIn,72975,41,9385.6,1
1608,LinkedIn,31921,7,1912.01,0
867,Google,89747,44,5732.7,1
2144,Google,31614,9,6731.32,1
2239,Facebook,62189,32,5899.93,1
3129,LinkedIn,18601,18,4567.42,0
1649,LinkedIn,94332,43,3677.87,1
1864,Google,72543,15,3165.29,1
2745,TikTok,21514,12,4719.78,1
3816,TikTok,84312,41,4255.48,0
4705,Google,68612,12,9295.28,1
4581,Instagram,91886,16,9942.71,1
2393,LinkedIn,17292,19,4455.25,1
4937,Facebook,32510,23,8288.25,1
2808,TikTok,29000,32,4005.48,0
1000,Instagram,31383,11,3118.91,1
3184,LinkedIn,12785,44,5474.02,1
2109,Instagram,41910,11,6757.49,1
341,LinkedIn,40028,34,2212.07,1
2485,LinkedIn,25855,22,4129.41,1
4368,Google,25281,28,11337.86,1
771,Google,5841,10,1789.68,1
263,Facebook,98204,8,3004.68,1
564,Facebook,61155,7,3064.02,1
3142,Instagram,27918,10,4094.24,0
4692,Google,57313,30,8695.94,1
4895,LinkedIn,18443,42,8286.73,1
2542,Google,33250,15,5398.04,1
4898,LinkedIn,2922,33,11115.96,1
2455,Google,32976,24,3501.21,0
4378,LinkedIn,12991,14,7178.72,1
4824,Instagram,54744,30,7999.1,1
2657,Google,23733,31,7255.37,1
645,TikTok,3473,18,838.64,0
4819,TikTok,9108,40,4954.26,0
3935,LinkedIn,29715,16,4651.36,0
693,Instagram,33210,27,1704.39,1
4939,LinkedIn,38317,25,7773.0,1
3904,Instagram,66516,12,9365.45,1
1559,Facebook,34362,43,3221.97,1
3593,Google,55604,13,4548.94,0
2701,Instagram,5889,28,4061.93,1
2544,LinkedIn,90557,35,9837.18,1
2772,Facebook,74748,29,7531.29,1
4300,LinkedIn,32971,21,10302.81,1
116,TikTok,51551,33,2535.25,1
3291,TikTok,4201,7,4347.5,0
492,Google,90882,25,2773.43,1
524,Google,38958,12,2170.6,1
671,Facebook,80251,18,4563.72,1
3731,TikTok,6681,43,3543.73,0
1220,Instagram,47870,20,2229.8,1
341,TikTok,83256,22,1610.96,1
3997,Google,68203,35,7220.55,1
4195,LinkedIn,29152,15,7041.96,1
2379,Facebook,51061,42,5035.47,1
888,TikTok,58619,24,3328.92,1
814,Instagram,59235,8,2702.63,1
4954,Instagram,74740,24,11290.51,1
2949,Instagram,38890,35,4970.2,1
875,Facebook,91073,24,3091.75,1
4126,Instagram,62401,15,8877.29,1
2347,Instagram,12217,5,4692.97,1
178,TikTok,49351,22,2134.11,1
4026,Facebook,34741,43,6458.59,1
955,LinkedIn,21654,37,1749.72,1
2248,LinkedIn,62314,40,5180.68,1
1131,Instagram,2408,22,1794.76,1
3371,Google,43903,35,6556.06,1
3676,Facebook,85208,39,5561.13,1
4282,Google,2218,43,5547.42,0
3556,Facebook,51572,42,8320.26,1
3606,Facebook,59798,19,3845.87,0
507,TikTok,31105,10,1990.53,1
2811,Instagram,70634,12,7585.61,1
3188,TikTok,66063,44,6798.54,1
1768,Google,8619,26,2983.65,1
247,Google,12939,5,894.54,1
4427,LinkedIn,19226,17,4149.48,0
3997,TikTok,26322,28,10179.13,1
2050,TikTok,59215,25,3776.26,1
465,TikTok,17878,8,794.55,1
1774,LinkedIn,7560,11,1618.86,0
4631,TikTok,39278,16,9018.08,1
4594,TikTok,37212,17,11518.89,1
2646,TikTok,95835,20,7970.51,1
662,TikTok,74079,10,4736.9,1
3662,Google,24946,18,5208.12,0
2589,Instagram,32740,35,7314.76,1
872,Google,8253,40,2066.43,1
2137,TikTok,80311,41,3571.72,1
3523,Facebook,33813,45,8142.44,1
2667,Facebook,65331,39,9166.57,1
1673,LinkedIn,28632,14,4568.47,1
3794,Google,49365,21,4919.79,0
3391,LinkedIn,68593,34,11072.72,1
1346,LinkedIn,34431,11,2771.91,1
3819,Facebook,38436,22,8642.33,1
3939,Google,19413,23,4748.22,0
459,Instagram,96761,19,2988.3,1
2476,Google,39485,43,4578.67,1
3109,LinkedIn,69232,26,7486.5,1
3093,TikTok,17101,43,4017.09,0
1062,LinkedIn,9831,34,2322.8,1
3732,Google,85583,24,12693.7,1
1927,Facebook,52897,36,5141.16,1
1713,Google,6004,29,1657.13,0
1740,Instagram,89241,27,5749.06,1
2316,TikTok,46924,9,3826.4,1
4412,TikTok,22509,45,7508.22,1
477,LinkedIn,38170,34,2457.21,1
4314,Google,44555,43,10271.36,1
4385,Facebook,15662,31,6733.24,1
469,Instagram,66930,41,2204.59,1
2296,LinkedIn,48403,11,5512.86,1
3847,Google,37365,9,4946.39,0
751,Facebook,63188,19,3012.43,1
869,Google,77060,12,4009.26,1
2521,Facebook,99633,13,4096.37,1
880,Google,27673,15,1788.58,1
1816,Google,64471,26,5389.8,1
4083,LinkedIn,18156,38,4825.96,0
1411,Google,58287,39,4162.09,1
3459,Google,2645,17,5953.65,1
622,LinkedIn,60076,15,1935.45,1
621,LinkedIn,95585,36,4810.6,1
4978,TikTok,76351,19,6405.56,0
2420,TikTok,51151,42,3177.74,0
1035,LinkedIn,68384,5,2861.44,1
2330,Instagram,34541,28,5678.23,1
4140,Facebook,73847,44,12289.59,1
4683,LinkedIn,88099,26,9200.7,1
3797,TikTok,81739,7,8325.94,1
2937,Google,51955,18,7124.29,1
4183,LinkedIn,10290,6,5680.94,0
2561,LinkedIn,59942,36,4894.95,1
3343,TikTok,83667,42,8840.08,1
3459,TikTok,31143,37,6033.08,1
785,Instagram,25509,10,2628.1,1
2260,TikTok,88780,45,7285.77,1
4088,TikTok,37741,43,7381.28,1
4166,TikTok,27898,29,8208.78,1
1667,Google,86674,38,2734.97,1
138,LinkedIn,63948,15,1045.39,1
2644,LinkedIn,62768,41,8533.19,1
4975,TikTok,44262,45,11329.28,1
1356,Instagram,6506,11,3573.46,1
3090,TikTok,21605,26,3367.46,0
2296,Instagram,79590,43,5955.62,1
3568,LinkedIn,29231,14,9029.29,1
